,indice,Id_producto,title,family_id,brand,origin,season,color,hexadecimal,top_type,adventurous,weather,print,style,fit,application,Nivel
560,560,5c6b1a15-6d28-45c5-92eb-d38bda40c89f,Clarise Shirt solid ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND99,WHOLE_SALE,9,white,FFFFFF,shirt,2,cold_season,smooth,classic,straight,freetime,2
561,561,6551eb3c-683d-4a71-8d53-477b2cb2090b,Scarlett Jeans solid ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND138,PREMIUM,9,blue,000081,,2,warm_season,smooth,street,tight,work,1
562,562,269f91d6-6551-484a-a62f-45172980003b,Nanni Pant ankle,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND131,MAINSTREAM,9,beige,DFC8B2,,3,warm_season,smooth,street,straight,freetime,1
563,563,456974e6-7843-4000-aa17-fa9f7c567dce,Lila Tshirt film ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND31,OWN_PRODUCTION,9,blue_dark,00008b,tops,2,warm_season,sheets,classic,straight,freetime,2
564,564,b6080901-0ae8-4674-bfad-1b8768ebba03,Charis Bag bohck ,882ecdf8-325d-4826-a066-1b263e438f09,BRAND97,OWN_PRODUCTION,9,black,000000,,2,cold_season,animal_print,boho,,work,3
565,565,100519f6-51be-4b37-ac9b-4ad98102a482,Nelly Cardigan bohck ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND97,OWN_PRODUCTION,9,beige,DFC8B2,cardigan,2,cold_season,,boho,straight,work,2
566,566,dcedbab1-0eaf-49db-8ce3-195652a05122,Mila Sweater round ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND152,NO_MAINSTREAM,9,beige,DFC8B2,sweaters,2,cold,smooth,minimal,loose,work,2
567,567,d364d50a-af06-4757-8b1e-ec028efc06e5,Sand Tshirt jsy ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND9,NO_MAINSTREAM,9,coral,E65A5B,t-shirts,1,cold_season,smooth,street,tight,freetime,2
568,568,0cb6fead-d343-400c-bf5b-244c3bb1bd92,Saint Cardigan v-neck ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND152,NO_MAINSTREAM,9,salmon,F29985,cardigan,2,cold_season,smooth,classic,tight,work,2
569,569,a539743f-558e-446e-8647-4f0c8a93c7ba,Veleta Jeans slim ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND172,PREMIUM,9,blue_light,87CEFA,,2,warm_season,smooth,street,tight,work,1
570,570,45a82b9d-091a-4fd3-ac1b-aaac3a10224b,Amapola Jacket print ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND60,WHOLE_SALE,9,orange,FFA500,,3,cold_season,retro,classic,straight,work,3
571,571,fd40e626-8700-4765-8bdb-f08c1dc2c321,Scdollie Cardigan knit ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND66,MAINSTREAM,9,blue_dark,00008b,cardigan,2,cold_season,smooth,classic,straight,work,2
572,572,0a56a571-1c34-4e06-b178-9cb1badbd035,Aster Top blue ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND73,WHOLE_SALE,9,black,000000,tops,2,warm,smooth,classic,straight,work,2
573,573,8dfa8f1e-21a9-472b-9f4b-faf281c69804,Stripes Pant short,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND91,WHOLE_SALE,9,blue_light,87CEFA,,2,warm,herringbone,classic,straight,freetime,1
574,574,b2df2c73-c59f-4407-a5ff-56c66101e0b1,Vmvida Top gavo ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND102,MAINSTREAM,9,black,000000,tops,2,warm,smooth,classic,straight,freetime,2
575,575,60cd06ec-0034-49e6-8407-ec3f9ca44a79,Emball Top nude ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND133,OWN_PRODUCTION,9,black,000000,tops,3,warm,smooth,boho,loose,freetime,2
576,576,dc74bff5-2a72-41bc-b75d-9459666842ff,Riviera Dress floral ,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND54,MAINSTREAM,9,ecru,ECE9D6,,3,warm,floral,boho,straight,freetime,1
577,577,234bf6b0-6794-4d85-a0ac-21d17258d64a,Onlaya Sweater noos ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND119,MAINSTREAM,9,blue_dark,00008b,sweaters,3,cold_season,diagonal_stripe,street,loose,freetime,2
578,578,234bf6b0-6794-4d85-a0ac-21d17258d64a,Onlaya Sweater noos ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND119,MAINSTREAM,9,yellow,FFFF00,sweaters,3,cold_season,diagonal_stripe,street,loose,freetime,2
579,579,bd7bece9-681d-496b-998a-41d510d48ea5,Bydala Coat button ,74ba5e25-afd5-490b-a3a8-2175020c4487,BRAND76,MAINSTREAM,9,yellow,FFFF00,,2,cold_season,smooth,minimal,straight,work,2
580,580,44615d8b-0696-4614-b751-084b15b653af,Viril Cardigan knit ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND55,MAINSTREAM,9,blue_light,87CEFA,cardigan,2,cold_season,smooth,casual,straight,work,2
581,581,26aa0c82-ca89-4aa0-a90d-cf2cac41efc3,Brooklyn Top print ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND134,MAINSTREAM,9,beige,DFC8B2,sweaters,2,cold_season,miniprint,street,straight,work,2
582,582,f02d0133-3575-4138-bbc4-07b486248798,Ihalpa Cardigan aqua ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND89,MAINSTREAM,9,blue_light,87CEFA,cardigan,1,cold_season,smooth,minimal,loose,freetime,2
583,583,35a52125-04cc-4c3e-84f6-b48d785f3c36,Byhelene Dress solid ,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND76,MAINSTREAM,9,khaki,666633,,2,warm,smooth,street,loose,work,1
584,584,b11b8908-99d9-43e6-be67-66273136c39a,Ryder Tshirt joules ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND166,NO_MAINSTREAM,9,blue_dark,00008b,t-shirts,2,warm,bodoque,casual,straight,freetime,2
585,585,b5b33efd-19d9-42ba-b779-c44487cd5a37,Fqagnes Skirt printed ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND131,MAINSTREAM,9,indigo,0053a5,,3,warm_season,miniprint,boho,loose,freetime,1
586,586,b5b33efd-19d9-42ba-b779-c44487cd5a37,Fqagnes Skirt printed ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND131,MAINSTREAM,9,orange,FFA500,,3,warm_season,miniprint,boho,loose,freetime,1
